id,InYear,InMonth,InDay,intakedate,intakereason,animalname,breedname,speciesname,AgeYears,AgeMonths,AgeWeeks,animalage,sexname,OutYear,OutDay,OutMonth,movementdate,movementtype,returndate,returnedreason,DeadYear,DeadMonth,DeadDay,deceaseddate,deceasedreason,diedoffshelter,puttosleep
62158,2019,01,18,2019-01-18 15:24:50,Incompatible with owner lifestyle,Blue,Bully Breed Mix/Labrador Retriever,Dog,1,10,,1 year 10 months.,Female,2019,02,01,2019-02-01 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62162,2019,01,19,2019-01-19 12:39:39,Moving,Hollie,Labrador Retriever/Golden Retriever,Dog,9,0,,9 years 0 months.,Female,2019,02,01,2019-02-01 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62163,2019,01,19,2019-01-19 13:35:02,Stray,Nibbly,Bully Breed Mix,Dog,3,1,,3 years 1 month.,Female,2019,08,17,2019-08-17 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62166,2019,01,22,2019-01-22 11:05:59,Unsuitable Accommodation,Jada,Bully Breed Mix,Dog,1,1,,1 year 1 month.,Female,2019,01,25,2019-01-25 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62168,2019,01,22,2019-01-22 13:17:25,Incompatible with other pets,Nali,Bull Terrier/Australian Cattle Dog,Dog,2,7,,2 years 7 months.,Female,2019,05,13,2019-05-13 00:00:00,Foster,2019-08-29 00:00:00,Stray,,,,,Court Order/ Legal,0,0
62169,2019,01,22,2019-01-22 13:45:37,Incompatible with owner lifestyle,Goldie,Golden Retriever,Dog,,7,,7 months.,Male,2019,01,22,2019-01-22 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62171,2019,01,22,2019-01-22 17:09:40,Stray,Cattle Kate,Heeler/Mix,Dog,1,0,,1 year 0 months.,Female,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62195,2019,01,25,2019-01-25 17:28:25,Stray,Gator,Australian Cattle Dog,Dog,10,0,,10 years 0 months.,Male,2019,01,26,2019-01-26 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62196,2019,01,25,2019-01-25 18:53:39,Stray,Basil,German Shepherd Dog,Dog,1,2,,1 year 2 months.,Male,2019,01,26,2019-01-26 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62198,2019,01,26,2019-01-26 12:15:42,Stray,May,Shep Mix,Dog,,,10,10 weeks.,Female,2019,02,05,2019-02-05 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62199,2019,01,26,2019-01-26 12:36:53,Litter relinquishment,Frankie,"Schnauzer, Standard/Labrador Retriever",Dog,,,9,9 weeks.,Female,2019,02,12,2019-02-12 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62200,2019,01,26,2019-01-26 12:36:53,Litter relinquishment,Bill,"Schnauzer, Standard/Labrador Retriever",Dog,,,8,8 weeks.,Male,2019,02,06,2019-02-06 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62201,2019,01,26,2019-01-26 12:36:53,Litter relinquishment,Ben,"Schnauzer, Standard/Labrador Retriever",Dog,,,8,8 weeks.,Male,2019,02,08,2019-02-08 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62202,2019,01,26,2019-01-26 12:36:53,Litter relinquishment,Beverly,"Schnauzer, Standard/Labrador Retriever",Dog,,,8,8 weeks.,Female,2019,02,06,2019-02-06 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62203,2019,01,26,2019-01-26 12:36:53,Litter relinquishment,Richie,"Schnauzer, Standard/Labrador Retriever",Dog,,,8,8 weeks.,Male,2019,02,07,2019-02-07 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
62211,2019,01,28,2019-01-28 12:04:20,Stray,Gidget,Hound/Mix,Dog,2,7,,2 years 7 months.,Female,2019,01,28,2019-01-28 00:00:00,Reclaimed,,Stray,,,,,Court Order/ Legal,0,0
62218,2019,01,28,2019-01-28 17:00:03,Stray,Prim,Shep Mix/Hound,Dog,1,0,,1 year 0 months.,Female,2019,02,07,2019-02-07 00:00:00,Adoption,,Stray,,,,,Court Order/ Legal,0,0
